selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition,chartType,selectedLabel,G,E,F,B,C,D,A,G_ind,E_ind,F_ind,B_ind,C_ind,D_ind,A_ind,UID
47,far-align,near-anchor,3,11,2,25 and 50,14,line,C,5,23,9,5,47,2,9,1,4,0,3,2,6,5,1
50,near-align,anchor,0,2,0,0 and 50,2,line,B,8,2,11,50,12,13,4,3,0,6,1,4,2,5,1
48,far-align,near-anchor,2,7,2,50,43,pie,G,48,7,3,3,9,16,14,5,2,0,3,6,4,1,1
15,far-align,far-anchor,10,5,0,0 and 25,5,line,C,9,12,18,5,15,18,23,5,3,2,0,1,4,6,1
18,near-align,far-anchor,7,4,2,25,21,line,F,3,11,18,28,10,14,16,3,1,2,4,0,5,6,1
39,near-align,far-anchor,11,3,1,25,22,line,A,12,15,10,2,18,4,39,0,5,1,4,3,6,2,1
45,aligned,far-anchor,5,0,0,25,25,line,C,10,13,8,4,45,7,13,5,1,0,2,3,4,6,1
23,aligned,near-anchor,2,0,2,100,77,line,C,3,14,13,17,23,8,22,1,5,3,2,6,0,4,1
53,far-align,far-anchor,3,9,2,25,34,pie,D,8,10,5,5,15,53,4,5,1,6,3,2,4,0,1
36,far-align,far-anchor,11,5,1,0,5,line,G,36,5,4,31,6,12,6,1,0,5,4,3,6,2,1
55,far-align,far-anchor,5,6,0,75,14,pie,G,55,7,5,7,7,5,14,2,1,5,0,4,3,6,1
26,far-align,near-anchor,1,9,1,75,40,line,A,4,8,16,14,24,8,26,6,2,4,5,0,1,3,1
28,aligned,near-anchor,3,0,2,75,47,line,A,11,19,6,2,26,8,28,2,5,6,0,3,1,4,1
35,far-align,far-anchor,10,7,0,100,58,pie,F,7,10,35,15,10,14,9,6,3,5,2,0,1,4,1
47,far-align,near-anchor,3,10,2,50,40,line,F,13,6,47,13,10,5,6,1,2,5,6,0,4,3,1
52,far-align,far-anchor,2,6,2,25,31,line,G,52,6,8,4,13,8,9,4,1,3,5,6,0,2,1
54,far-align,far-anchor,4,10,1,0,10,line,E,5,54,9,10,9,4,9,5,1,2,0,3,6,4,1
36,aligned,far-anchor,11,0,1,50,50,line,F,13,16,36,14,12,4,5,0,3,5,6,2,1,4,1
21,near-align,near-anchor,4,2,1,75 and 100,77,line,E,18,21,2,47,5,5,2,4,5,6,2,1,3,0,1
15,aligned,far-anchor,10,0,0,50,35,line,B,11,2,21,15,1,14,36,3,4,0,2,6,1,5,1
26,far-align,near-anchor,1,8,1,75,41,pie,E,12,26,18,7,19,15,3,6,3,5,0,2,1,4,1
18,near-align,far-anchor,7,3,2,25,4,line,C,4,20,6,15,18,17,20,0,5,6,2,1,4,3,1
32,far-align,far-anchor,7,5,2,25,30,pie,E,10,32,7,16,7,11,17,5,3,2,0,1,6,4,1
26,far-align,near-anchor,1,9,1,50,59,line,E,4,26,10,15,11,23,11,3,5,4,6,0,1,2,1
46,near-align,near-anchor,4,3,1,75,32,pie,D,9,13,6,16,6,46,4,6,5,3,1,2,4,0,1
37,aligned,far-anchor,12,0,2,25,25,pie,G,37,20,8,1,9,20,5,2,3,5,4,6,0,1,1
32,far-align,far-anchor,7,9,2,25 and 75,34,pie,A,18,10,7,6,10,17,32,0,1,4,2,6,5,3,1
55,aligned,far-anchor,5,0,0,100,45,pie,C,3,6,5,7,55,14,10,2,4,5,3,6,0,1,1
30,near-align,far-anchor,5,4,0,75,41,line,E,6,30,1,23,8,25,7,5,4,0,6,1,3,2,1
53,far-align,far-anchor,3,7,2,75,15,line,C,4,4,15,3,53,11,10,5,1,6,3,2,0,4,1
15,near-align,far-anchor,10,2,0,25,8,line,B,6,21,29,15,11,10,8,4,6,3,1,2,5,0,1
25,far-align,anchor,0,9,0,0 and 25,9,pie,G,25,16,9,6,30,4,10,1,5,0,2,6,3,4,1
50,aligned,anchor,0,0,0,25 and 75,25,pie,F,6,6,50,8,12,5,13,2,0,3,5,4,6,1,1
36,aligned,far-anchor,11,0,1,50,14,pie,F,12,14,36,7,10,12,9,3,0,1,4,5,2,6,1
24,near-align,near-anchor,1,3,1,75,54,pie,A,20,27,2,14,8,5,24,2,0,1,6,5,3,4,1
26,near-align,near-anchor,1,2,1,0,2,pie,D,6,18,2,15,30,26,3,5,6,0,2,4,1,3,1
49,aligned,near-anchor,1,0,1,100,51,pie,F,13,8,49,11,8,2,9,2,5,6,0,3,4,1,1
28,far-align,near-anchor,3,10,2,25,35,line,C,9,11,9,20,28,15,8,0,1,5,4,3,2,6,1
40,aligned,far-anchor,10,0,0,100,60,pie,A,5,9,8,6,31,1,40,5,3,0,4,1,2,6,1
50,near-align,anchor,0,3,0,25 and 75,22,pie,D,14,10,2,11,6,50,7,1,4,0,5,2,3,6,1
29,far-align,near-anchor,4,10,1,25,35,pie,F,12,13,29,5,19,2,20,5,1,3,4,6,0,2,1
27,near-align,near-anchor,2,4,2,0,4,pie,E,30,27,11,16,5,4,7,4,1,5,6,3,0,2,1
15,near-align,far-anchor,10,2,0,75,73,line,E,4,15,18,11,5,35,12,1,5,3,2,0,4,6,1
47,aligned,near-anchor,3,0,2,0,0,pie,F,12,4,47,6,7,12,12,3,6,0,5,2,4,1,2
37,near-align,far-anchor,12,3,2,50,47,pie,E,2,37,7,14,21,16,3,6,4,1,5,0,2,3,2
25,near-align,anchor,0,1,0,50 and 75,49,pie,C,11,23,18,11,25,8,4,0,3,6,2,4,5,1,2
44,near-align,far-anchor,6,2,1,75,29,line,E,20,44,15,7,3,5,6,0,3,5,6,2,4,1,2
24,far-align,near-anchor,1,8,1,50,34,line,F,23,7,24,4,7,7,28,1,6,3,2,0,4,5,2
16,near-align,far-anchor,9,1,1,50,33,line,D,26,3,30,12,5,16,8,5,1,0,3,6,2,4,2
17,far-align,far-anchor,8,5,2,50,38,pie,E,4,17,13,21,11,21,13,1,3,0,6,4,2,5,2
17,aligned,far-anchor,8,0,2,50,33,line,A,23,10,13,6,16,15,17,1,0,5,3,6,4,2,2
33,far-align,far-anchor,8,7,2,50,57,line,F,19,6,33,8,7,17,10,4,0,5,1,3,2,6,2
23,near-align,near-anchor,2,2,2,75,73,pie,B,10,4,23,23,18,11,11,3,6,0,5,4,1,2,2
20,far-align,far-anchor,5,5,0,25,20,pie,A,12,8,13,6,1,40,20,0,1,3,5,6,4,2,2
49,far-align,near-anchor,1,11,1,50,39,pie,B,12,13,17,49,3,4,2,6,4,1,5,3,0,2,2
45,far-align,far-anchor,5,9,0,75,39,pie,F,5,11,45,13,5,5,16,0,5,4,3,6,1,2,2
50,near-align,anchor,0,1,0,25 and 75,24,pie,D,4,11,14,2,10,50,9,0,1,4,5,6,3,2,2
32,aligned,far-anchor,7,0,2,50,18,pie,F,22,5,32,8,4,14,15,5,4,2,6,1,0,3,2
30,far-align,far-anchor,5,10,0,0 and 50,10,pie,C,13,18,7,6,30,16,10,5,4,6,2,1,3,0,2
25,far-align,anchor,0,10,0,25 and 50,15,pie,D,16,14,15,4,11,25,15,2,4,5,6,3,1,0,2
22,near-align,near-anchor,3,1,2,50,27,line,G,22,8,20,12,19,16,3,2,1,5,4,0,3,6,2
39,far-align,far-anchor,11,5,1,50,45,line,F,13,16,39,8,12,4,8,3,1,4,5,0,2,6,2
35,far-align,far-anchor,10,7,0,0,7,pie,C,6,13,7,11,35,16,12,5,4,0,3,1,6,2,2
21,far-align,near-anchor,4,10,1,25,15,pie,B,9,8,15,21,15,22,10,2,6,4,1,0,3,5,2
49,aligned,near-anchor,1,0,1,100,51,line,D,4,16,1,9,8,49,13,3,5,0,4,2,6,1,2
46,far-align,near-anchor,4,8,1,50,12,line,C,15,9,5,9,46,4,12,2,6,3,4,1,5,0,2
30,far-align,far-anchor,5,7,0,50,57,pie,C,13,9,9,15,30,11,13,3,1,0,2,5,4,6,2
36,near-align,far-anchor,11,1,1,50,49,pie,B,15,8,5,36,16,5,15,6,3,2,5,4,1,0,2
19,near-align,far-anchor,6,3,1,25 and 50,28,pie,A,11,23,16,17,4,10,19,1,4,5,0,6,3,2,2
29,near-align,near-anchor,4,2,1,0,2,pie,C,37,6,2,2,29,15,9,6,5,3,0,1,2,4,2
29,far-align,near-anchor,4,7,1,75,39,line,C,23,5,4,14,29,17,8,4,6,5,1,3,0,2,2
47,aligned,near-anchor,3,0,2,25,25,pie,C,8,2,18,11,47,11,3,6,5,4,2,3,0,1,2
22,far-align,near-anchor,3,8,2,75,67,pie,G,22,10,15,22,16,11,4,5,3,4,0,2,6,1,2
35,far-align,far-anchor,10,7,0,75,33,line,D,16,10,15,2,4,35,18,2,5,0,1,4,3,6,2
29,far-align,near-anchor,4,5,1,50,16,line,E,34,29,12,4,2,16,3,6,1,5,3,4,0,2,2
27,aligned,near-anchor,2,0,2,50,50,pie,A,17,5,15,6,10,20,27,5,3,1,6,2,0,4,2
42,far-align,far-anchor,8,6,2,25,19,pie,A,17,18,2,11,2,8,42,1,5,0,4,6,3,2,2
26,far-align,near-anchor,1,5,1,0,5,line,F,19,6,26,5,23,12,9,3,4,1,0,2,6,5,2
15,aligned,far-anchor,10,0,0,100,85,pie,G,15,11,26,18,6,18,6,6,0,2,5,1,4,3,2
21,aligned,near-anchor,4,0,1,0,0,line,E,10,21,9,15,15,16,14,4,0,5,2,6,3,1,2
27,aligned,near-anchor,2,0,2,100,73,line,F,19,21,27,9,7,2,15,3,2,6,1,0,4,5,2
25,aligned,anchor,0,0,0,50 and 75,50,pie,E,13,25,12,12,5,7,26,5,4,6,2,3,1,0,2
17,far-align,far-anchor,8,6,2,25,19,line,B,16,11,19,17,18,10,9,6,3,0,1,5,2,4,2
50,aligned,anchor,0,0,0,25 and 75,25,pie,C,4,10,11,19,50,4,2,1,0,2,4,3,5,6,2
37,near-align,far-anchor,12,1,2,100,62,line,B,24,7,1,37,9,8,14,3,0,6,5,4,1,2,2
52,far-align,far-anchor,2,11,2,25,36,line,G,52,5,5,7,1,12,18,4,0,6,5,3,1,2,2
19,near-align,far-anchor,6,3,1,75,72,line,C,4,46,6,9,19,10,6,1,3,0,6,5,2,4,2
30,far-align,far-anchor,5,7,0,25,32,line,C,9,2,13,13,30,10,23,0,6,2,4,3,1,5,2
45,aligned,far-anchor,5,0,0,50,50,line,D,5,8,18,3,9,45,12,6,3,2,1,0,5,4,2
36,near-align,far-anchor,11,3,1,100,61,pie,C,14,6,21,3,36,7,13,1,4,0,6,5,3,2,2
50,aligned,anchor,0,0,0,25 and 75,25,line,G,50,8,6,8,10,9,9,3,5,1,4,0,6,2,2
48,near-align,near-anchor,2,1,2,25,24,line,G,48,7,9,7,8,12,9,3,5,2,0,1,4,6,2
43,near-align,far-anchor,7,2,2,0,2,pie,G,43,7,25,4,6,2,13,1,4,6,2,3,0,5,2
17,far-align,far-anchor,8,6,2,75,69,line,E,14,17,15,20,12,6,16,6,5,1,4,0,3,2,2
26,near-align,near-anchor,1,1,1,75,48,line,F,10,12,26,7,19,17,9,0,3,4,1,2,6,5,2
25,aligned,anchor,0,0,0,0 and 25,0,line,C,9,13,4,9,25,6,34,5,2,3,4,0,6,1,2
31,aligned,far-anchor,6,0,1,50,50,line,D,6,12,29,10,3,31,9,1,3,2,6,0,4,5,2
38,near-align,far-anchor,12,3,2,50,9,line,A,9,10,16,9,7,11,38,0,3,5,6,2,4,1,2
42,aligned,far-anchor,8,0,2,50,8,line,A,15,12,6,8,9,8,42,3,2,4,0,5,6,1,2
50,far-align,anchor,0,5,0,0 and 50,5,line,F,4,11,50,8,6,5,16,4,6,1,5,2,0,3,2
28,near-align,near-anchor,3,2,2,75,45,pie,G,28,11,21,6,14,3,17,4,1,6,5,2,0,3,2
28,far-align,near-anchor,3,8,2,0,8,pie,B,12,9,8,28,15,8,20,2,3,5,1,4,0,6,2
26,near-align,near-anchor,1,2,1,50,52,line,A,5,3,4,18,18,26,26,3,2,6,1,5,0,4,2
35,aligned,far-anchor,10,0,0,50,50,pie,G,35,9,10,12,3,15,16,5,0,4,1,2,6,3,2
25,far-align,anchor,0,7,0,75 and 100,68,line,E,10,25,7,7,30,14,7,0,5,6,4,1,3,2,2
20,aligned,far-anchor,5,0,0,25,5,line,G,20,8,6,26,5,23,12,1,6,2,4,0,5,3,2
22,near-align,near-anchor,3,2,2,25,23,pie,C,12,11,13,8,22,18,16,0,1,3,6,2,4,5,2
17,near-align,far-anchor,8,4,2,25,12,pie,A,8,8,13,32,10,12,17,5,2,4,3,6,0,1,2
15,near-align,far-anchor,10,3,0,50,32,line,D,22,15,13,21,4,15,10,1,6,4,3,5,2,0,2
32,near-align,far-anchor,7,2,2,100,66,line,C,20,11,2,17,32,16,2,1,3,0,4,5,2,6,2
27,near-align,near-anchor,2,1,2,50 and 75,49,pie,B,15,9,14,27,19,3,13,5,6,2,4,1,3,0,2
46,aligned,near-anchor,4,0,1,0,0,line,E,19,46,5,14,8,2,6,3,0,2,6,4,1,5,2
19,near-align,far-anchor,6,3,1,75 and 100,78,line,B,22,8,20,19,17,3,11,1,2,3,5,0,6,4,2
42,near-align,far-anchor,8,4,2,50,46,pie,D,10,6,14,7,12,42,9,1,0,4,3,6,5,2,2
48,aligned,near-anchor,2,0,2,25,25,pie,A,12,10,10,10,3,7,48,1,5,6,2,0,4,3,2
25,near-align,anchor,0,1,0,25 and 50,24,line,A,3,7,17,5,14,29,25,3,1,0,6,4,5,2,2
16,aligned,far-anchor,9,0,1,75,59,pie,D,21,11,9,22,7,16,14,1,6,0,2,3,4,5,2
42,near-align,far-anchor,8,4,2,50,12,pie,E,22,42,12,6,4,11,3,2,1,0,5,6,3,4,2
49,near-align,near-anchor,1,2,1,75,28,line,C,9,9,5,6,49,9,13,5,1,4,2,3,6,0,2
50,near-align,anchor,0,1,0,50 and 100,49,line,E,19,50,6,11,11,2,1,0,5,4,3,2,1,6,2
29,aligned,near-anchor,4,0,1,25,25,pie,B,9,22,9,29,4,11,16,0,6,4,2,3,5,1,2
45,far-align,far-anchor,5,9,0,50,41,pie,G,45,11,7,13,2,3,19,4,6,2,3,1,5,0,2
41,aligned,far-anchor,9,0,1,50,9,pie,F,4,6,41,16,9,13,11,6,5,1,2,0,4,3,2
47,near-align,near-anchor,3,4,2,50,46,line,G,47,29,2,4,7,5,6,5,3,0,2,6,4,1,2
45,far-align,far-anchor,5,5,0,50,45,pie,F,10,14,45,4,4,18,5,6,4,5,3,2,0,1,2
37,near-align,far-anchor,12,2,2,50,11,pie,F,9,16,37,5,12,11,10,3,2,1,6,4,0,5,2
49,aligned,near-anchor,1,0,1,25,25,line,A,16,2,15,3,9,6,49,2,6,4,0,5,1,3,2
50,far-align,anchor,0,12,0,25 and 75,13,pie,A,17,9,4,1,6,13,50,5,1,0,3,4,6,2,2
52,aligned,far-anchor,2,0,2,25,25,pie,F,9,8,52,12,6,11,2,6,5,3,0,4,2,1,2
24,near-align,near-anchor,1,2,1,75,73,pie,B,20,12,26,24,4,3,11,0,4,3,5,1,6,2,2
17,far-align,far-anchor,8,5,2,25,13,line,D,6,13,3,13,32,17,16,4,6,5,0,2,1,3,2
28,far-align,near-anchor,3,8,2,25,33,pie,C,16,12,7,10,28,18,9,2,5,0,1,3,6,4,2
19,near-align,far-anchor,6,1,1,25,5,line,B,31,8,5,19,14,9,14,3,5,0,1,4,6,2,2
55,far-align,far-anchor,5,5,0,25,30,line,G,55,10,5,4,11,11,4,4,2,1,3,6,0,5,2
29,far-align,near-anchor,4,8,1,50,13,line,B,9,12,25,29,13,5,7,6,2,3,1,0,4,5,2
26,far-align,near-anchor,1,10,1,100,64,pie,A,10,13,4,10,4,33,26,1,3,4,6,2,0,5,2
44,aligned,far-anchor,6,0,1,50,50,line,C,3,20,12,1,44,6,14,4,3,0,1,5,6,2,2
29,far-align,near-anchor,4,10,1,75,36,line,D,12,17,19,5,6,29,12,5,4,2,1,6,3,0,2
49,far-align,near-anchor,1,7,1,50,43,pie,E,5,49,8,2,7,17,12,1,5,6,3,0,4,2,2
16,near-align,far-anchor,9,4,1,100,80,line,C,18,27,4,14,16,5,16,0,3,6,2,5,4,1,3
32,near-align,far-anchor,7,1,2,100,67,pie,E,11,32,19,22,10,5,1,1,5,2,4,3,0,6,3
27,far-align,near-anchor,2,7,2,75,41,pie,D,25,8,15,7,10,27,8,0,2,6,5,4,3,1,3
15,near-align,far-anchor,10,1,0,50,49,line,F,20,7,15,6,22,15,15,0,2,3,4,1,5,6,3
31,aligned,far-anchor,6,0,1,50,50,line,D,10,14,21,18,5,31,1,1,5,0,3,6,4,2,3
18,far-align,far-anchor,7,6,2,50,38,pie,C,14,12,11,14,18,16,15,6,0,2,5,3,4,1,3
39,near-align,far-anchor,11,2,1,75,34,pie,E,14,39,11,2,17,5,12,4,3,6,5,0,2,1,3
46,far-align,near-anchor,4,7,1,50,11,line,A,2,10,4,16,11,11,46,2,4,3,5,6,0,1,3
19,far-align,far-anchor,6,5,1,75,61,pie,B,35,12,20,19,7,1,6,1,0,6,5,2,4,3,3
47,far-align,near-anchor,3,11,2,50 and 75,39,pie,D,11,6,5,18,9,47,4,3,2,5,0,6,4,1,3
48,far-align,near-anchor,2,6,2,50,44,pie,F,7,14,48,11,7,8,5,3,0,5,1,2,6,4,3
51,far-align,far-anchor,1,9,1,0,9,line,E,9,51,7,4,9,5,15,0,1,6,2,3,5,4,3
25,far-align,anchor,0,6,0,75 and 100,69,pie,D,17,10,17,6,6,25,19,3,0,1,6,2,5,4,3
27,far-align,near-anchor,2,10,2,50,13,line,B,10,25,11,27,9,5,13,3,6,4,1,5,2,0,3
16,aligned,far-anchor,9,0,1,50,34,pie,G,16,11,30,13,7,19,4,2,5,1,3,6,4,0,3
45,far-align,far-anchor,5,7,0,50,43,line,F,9,6,45,12,8,18,2,2,4,5,6,3,0,1,3
50,far-align,anchor,0,6,0,25 and 75,19,pie,A,10,16,3,8,3,10,50,5,1,4,3,0,6,2,3
54,far-align,far-anchor,4,5,1,0,5,pie,B,5,3,3,54,3,11,21,0,3,6,1,2,5,4,3
46,far-align,near-anchor,4,10,1,50,14,line,A,6,8,4,4,26,6,46,1,0,4,6,5,3,2,3
39,aligned,far-anchor,11,0,1,25,25,line,E,17,39,11,1,12,8,12,1,2,6,5,4,0,3,3
28,aligned,near-anchor,3,0,2,100,72,line,E,4,28,8,12,15,12,21,4,6,1,2,3,0,5,3
17,far-align,far-anchor,8,6,2,75,64,line,B,10,18,11,17,17,8,19,0,3,1,5,4,2,6,3
38,near-align,far-anchor,12,2,2,50,48,line,B,14,9,7,38,13,15,4,6,1,4,5,0,2,3,3
46,aligned,near-anchor,4,0,1,50,50,pie,B,16,2,3,46,7,4,22,1,4,2,5,3,6,0,3
25,near-align,anchor,0,4,0,25 and 50,21,line,F,9,16,25,18,16,11,5,6,5,2,3,0,4,1,3
23,aligned,near-anchor,2,0,2,0,0,pie,D,3,19,17,24,12,23,2,3,1,6,4,5,0,2,3
40,far-align,far-anchor,10,7,0,50,43,pie,A,19,4,9,9,6,13,40,3,6,2,1,0,5,4,3
19,aligned,far-anchor,6,0,1,50,31,pie,A,1,26,5,3,22,24,19,5,0,1,6,3,4,2,3
16,far-align,far-anchor,9,6,1,75,65,line,F,12,27,16,19,18,3,5,1,2,5,6,3,4,0,3
20,far-align,far-anchor,5,8,0,75,67,pie,C,7,6,21,24,20,13,9,4,3,0,2,5,6,1,3
39,aligned,far-anchor,11,0,1,75,36,pie,F,18,6,39,17,5,7,8,1,2,4,6,3,0,5,3
35,far-align,far-anchor,10,5,0,100,60,line,D,5,13,5,17,11,35,14,4,1,6,2,3,5,0,3
50,aligned,anchor,0,0,0,50 and 100,50,pie,A,5,5,11,6,8,15,50,1,2,4,3,5,0,6,3
47,near-align,near-anchor,3,2,2,25,23,pie,F,3,6,47,5,15,10,14,1,6,3,0,2,5,4,3
47,far-align,near-anchor,3,10,2,50,40,pie,A,8,11,2,13,6,13,47,2,1,4,0,3,6,5,3
25,aligned,anchor,0,0,0,25 and 50,25,line,A,10,10,21,11,9,14,25,6,4,5,1,3,0,2,3
46,far-align,near-anchor,4,9,1,25,16,pie,A,23,11,5,4,10,1,46,5,0,1,6,3,4,2,3
15,near-align,far-anchor,10,4,0,25,21,line,A,7,6,13,19,19,21,15,4,2,6,3,5,0,1,3
29,near-align,near-anchor,4,1,1,25,24,line,E,1,29,9,21,9,16,15,5,2,1,3,6,4,0,3
21,near-align,near-anchor,4,3,1,75,57,line,B,17,30,7,21,12,8,5,6,2,0,4,1,3,5,3
16,near-align,far-anchor,9,3,1,0,3,pie,C,3,14,7,27,16,14,19,0,3,5,2,1,4,6,3
32,far-align,far-anchor,7,9,2,0 and 50,9,pie,E,4,32,9,15,11,16,13,3,1,0,2,4,6,5,3
50,far-align,anchor,0,7,0,25 and 75,18,line,B,14,16,1,50,4,10,5,1,6,4,2,0,5,3,3
21,aligned,near-anchor,4,0,1,75,75,pie,A,34,14,16,4,7,4,21,3,4,0,6,1,2,5,3
26,aligned,near-anchor,1,0,1,0,0,pie,D,5,6,22,21,13,26,7,2,3,1,5,6,0,4,3
34,near-align,far-anchor,9,2,1,25,23,line,B,10,13,13,34,21,7,2,1,0,6,2,4,5,3,3
41,near-align,far-anchor,9,3,1,100,56,pie,D,7,8,4,3,15,41,22,1,4,2,6,3,5,0,3
47,near-align,near-anchor,3,1,2,50,49,line,D,8,6,4,6,22,47,7,3,2,6,0,4,5,1,3
47,near-align,near-anchor,3,2,2,50,5,line,D,4,14,5,7,11,47,12,2,5,0,4,6,1,3,3
